text,status
ðŸŽ‰ Congratulations! You have won a FREE ticket to our summer event. Claim your free ticket now before it expires!!!,spam
Reminder: The project meeting will be held tomorrow morning at 10 a.m. Please bring your laptop and project files.,ham
Exclusive offer just for YOU! Get a free-trial of our premium plan. Enjoy free access for 7 days with full support.,spam
Hey team - the report looks great; please review it once more and send your feedback by tonight. Great job everyone!,ham
Youâ€™ve been selected for a *FREE* gift card! Claim your gift card today & enjoy your reward.,spam
"Limited-time offer! Buy one, get one free!! Visit our store or order online today at best-deals.com.",spam
Project update: new changes were added this morning. Please check the shared folder for updated files.,ham
Donâ€™t miss out!!! Your chance to win free prizes ends soon. Click the link & claim your reward!,spam
"Thanks for your email, John. Iâ€™ll review the attached document and get back to you by EOD.",ham
Urgent!!! Your account has been flagged for unusual activity. Click here to verify your account immediately.,spam
